rang_taxinomique;N°_Taxinomique_BDNFF;N°_Nomenclatural_BDNFF;code_CATMINAT;NOM_SCIENTIFIQUE;CHOROLOGIE;inflorescence;sexualité;ordre_maturation;pollinisation;fruit;dissémination;couleur_fleur;macule;floraison;type_ligneux;Hauteur_végétative_maximum_[m];TYPE_BIOLOGIQUE;FORMATION_VEGETALE;CARACTERISATION_ECOLOGIQUE_(HABITAT_OPTIMAL);INDICATION_PHYTOSOCIOLOGIQUE_CARACTERISTIQUE;INDICATION_CARACTERISTIQUE_TRANSGRESSIVE;INDICATION_DIFFERENTIELLE_1;INDICATION_DIFFERENTIELLE_2;INDICATION_DIFFERENTIELLE_3;Lumière;Température;Continentalité;Humidité_atmosphérique;Humidité_édaphique;Réaction_du_sol_(pH);Niveau_trophique;Salinité;Texture;Matière_organique;Lichtzahl;Temperaturzahl;Kontinentalität;Feuchtzahl;Reaktionszahl;Nutrients;Salz;CLASSE_(-opsida);SUBCLASSE_(-idae);Clade_intermédiaire;SUPERORDRE_(-anae);Clade_intermédiaire;Clade_intermédiaire;Clade_intermédiaire;ORDRE_(-ales);FAMILLE_(-aceae);numSpA;numSpB;numSpH;nomA;nomB;nomH
esp;nc;nc;13/9.;Rubus offensus P.J.Müll.;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus oigocladus P.J.Müll. & Lefèvre in P.J.Müll.;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus oliganthos P.J.Müll.;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus opertus Sudre;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;43659;58321;13/9.;Rubus orbifolius Lefèvre ex Boulay;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;17149;;;Rubus orbifolius
esp;nc;nc;13/9.;Rubus ornatus Sudre;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus orthocladoides Sudre;européen septentrional;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus orthostachyoides H.E.Weber;européen;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;8;7;6;5;5;7;6;0;3;2;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus ovatus Thuan;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus patulus P.J.Müll. & Lefèvre in P.J.Müll.;européen septentrional;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus pauciglandulosus Sudre;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus peracutifrons Sudre;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus pervagus Sudre;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;13997;57894;13/9.;Rubus phoenicolasius Maxim.;introduit (Asie orient.);racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;8;5;5;5;5;5;5;0;3;3;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;15936;;;Rubus phoenicolasius
esp;nc;nc;13/9.;Rubus phyllanthoides Sudre;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus phyllophorus Lefèvre & P.J.Müll. in P.J.Müll.;européen septentrional;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;43664;120047;13/9.;Rubus picearum (A.Beek) A.Beek;atlantique(eury);racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;15937;;;Rubus picearum *
esp;nc;nc;13/9.;Rubus platypetalus Timb. & P.J.Müll. ex Martrin-Donos;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus polyoplon Boulay & Motelay;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus praticolor A.Beek;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;4951;58364;13/9.;Rubus promachonicus A.Beek;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;17150;;;Rubus promachonicus *
esp;nc;nc;13/9.;Rubus pruinifer Sudre;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus pseudidaeus (Weihe) Lejeune;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus pseudogravetii Sudre;européen septentrional;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;43666;120048;13/9.;Rubus pseudoinfestus H.E.Weber;européen central;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;7;4;3;5;5;5;4;0;4;4;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;15938;;;Rubus pseudoinfestus *
esp;nc;nc;13/9.;Rubus pseudo-nemoralis Sudre;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus pseudo-winteri Sudre;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus pusillus Ripart ex Genév.;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus pustulatus (P.J.Müller ex Sudre) W.C.R.Watson;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus quercetorum Posp.;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus quincyi Boulay;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus radulicaulis Sudre;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus raduliformis Sudre;européen septentrional;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus ramosus Bloxam ex Briggs;atlantique;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus repentinus Sudre;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus riparium (Sudre) Château;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;14002;58400;13/9.;Rubus rivularis P.J.Müll. & Wirtg. ;européen septentrional;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;17151;;;Rubus rivularis
esp;nc;nc;13/9.;Rubus robertii Matzke-Hajek;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus rotundipetalus P.J.Müll.;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus rubellus P.J.Müll.;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus rubicundus P.J.Müll. ex Wirtgen;européen septentrional;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus scabripes Genév.;atlantique;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;44161;58423;13/9.;Rubus schmidelyanus Sudre;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;17152;;;Rubus schmidelyanus
esp;nc;nc;13/9.;Rubus segreensis Sudre;atlantique;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus semialbiflorus Sudre;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;31839;80219;13/9.;Rubus sempernitens D.E.Allen & Margetts;atlantique;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;17153;;;Rubus sempernitens *
esp;nc;nc;13/9.;Rubus separinus Genév.;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;nc;nc;13/9.;Rubus serratifolius P.J.Müll. & Lefèvre in P.J.Müll.;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
esp;4964;58461;13/9.;Rubus spectabilis Pursh;atlantique;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;15939;;;Rubus spectabilis
esp;43673;58463;13/9.;Rubus spinulatus Boulay;européen central;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;15940;;;Rubus spinulatus
esp;nc;nc;13/9.;Rubus stictocalyx P.J.Müll.;?;racème de racèmes;hermaphrodite;;apogame;drupe;endozoochore;;;;;;Hrub;hémicryptophytaie;ronciers de clairières médio-européennes, mésohydriques à mésohygrophiles;Lonicero periclymeni - Rubetea plicati Haveman, Schaminée & Stortelder in Stortelder, Schaminée & Hommel 1999;;;;;;;;;;;;;;;;;;;;;;Magnoliopsida;Magnoliidae;Eudicots;Rosanae;Superrosids;;Rosids;Rosales;Rosaceae;0;0;0;;;
