CD_NOM;Nom scientifique;Indicatrice ZH
652730;Actinotaenium silvae-nigrae var. parallelum (Willi Krieg.) Kouwets & Coesel, 1984;-
626979;Actinotaenium spinospermum (Joshua) Kouwets & Coesel, 1984;-
652731;Actinotaenium subtile (West & G.S.West) Teiling, 1954;-
73413;Actinotaenium truncatum (Breb.) Teil.;-
652732;Actinotaenium turgidum (Bréb. ex Ralfs) Teiling, 1954;-
652734;Actinotaenium wollei (West & G.S.West) Teiling, 1954;-
189732;Bambusina Kütz. ex Kütz., 1849;-
73473;Bambusina borreri (Ralfs) Cleve, 1864;-
191201;Cosmarium Corda ex Ralfs, 1848;-
73764;Cosmarium abbreviatum Racib., 1885;-
648848;Cosmarium abbreviatum var. germanicum (Racib.) Willi Krieg. & Gerloff, 1969;-
648849;Cosmarium abbreviatum var. minus (West & G.S.West) Willi Krieg. & Gerloff, 1969;-
648850;Cosmarium abruptum P.M.Lundell, 1871;-
648851;Cosmarium adoxum West & G.S.West, 1897;-
648852;Cosmarium adoxum var. denticulatum G.S.West, 1914;-
648853;Cosmarium alpestre J.Roy & Bisset in J.Roy, 1893;-
792098;Cosmarium alpicolum Schmidle, 1895;-
73768;Cosmarium amoenum Bréb. ex Ralfs, 1848;-
648854;Cosmarium amoenum var. mediolaeve Nordst., 1887;-
73769;Cosmarium anceps Lund.;-
965563;Cosmarium angulare L.N.Johnson, 1894;-
73770;Cosmarium angulosum Bréb., 1856;-
73771;Cosmarium angulosum var. concinnum (Rabenh.) West & G.S.West, 1901;-
648855;Cosmarium anisochondrum Nordst., 1878;-
73772;Cosmarium annulatum (Nägeli) De Bary, 1858;-
720964;Cosmarium aphanichondrum Nordst., 1876;-
73774;Cosmarium arctoum Nordst., 1875;-
648860;Cosmarium arctoum var. constrictum Gronblad & Scott, 1958;-
73776;Cosmarium asphaerosporum Wittrock, 1879;-
627017;Cosmarium asphaerosporum var. corribense (West & G.S.West) Willi Krieg. & Gerloff, 1969;-
